month,average_price
January 2015,50.93226051923955
February 2015,46.43629716016041
March 2015,24.08382023568398
April 2015,25.509141574517376
May 2015,25.772543699252907
June 2015,21.109015055005287
July 2015,18.746336744542862
August 2015,12.88900119652823
September 2015,9.937852465894514
October 2015,11.340333784524718
November 2015,17.513960702967474
December 2015,18.128095599687946
January 2016,22.384773106523344
February 2016,20.604056432087006
March 2016,19.946208035678495
April 2016,15.148174328380305
May 2016,12.812182207333166
June 2016,18.837262849557433
July 2016,30.065551544445757
August 2016,24.83011047967808
September 2016,21.26022481402019
October 2016,21.385394504427857
November 2016,18.75078501368243
December 2016,17.54593181416208
January 2017,13.195916179457452
February 2017,10.607498928277844
March 2017,11.78733197357062
April 2017,9.077708909798265
May 2017,7.730022424715964
June 2017,6.902704515726672
July 2017,6.9039489802422
August 2017,8.069054566806416
September 2017,4.014165407955453
October 2017,2.1717398441797684
November 2017,1.6197018755550532
December 2017,1.8322878443534043
January 2018,1.5902278091236501
February 2018,1.2168097360208456
March 2018,0.9924237539330182
April 2018,0.10675216841190031
May 2018,-0.8787594122761869
June 2018,-1.064920086363652
July 2018,-0.7894894201028501
August 2018,-0.6867632104247503
September 2018,-0.5799218227265348
October 2018,-0.6406093986072459
November 2018,-0.8986519572001067
December 2018,-0.8900080671994013
January 2019,-0.534393832204155
February 2019,-1.8735048155942071
March 2019,-2.6354406965660626
April 2019,-3.220115814894041
May 2019,-4.154417881345055
June 2019,-6.079073667998232
July 2019,-5.49701023316791
August 2019,-4.499013903737611
September 2019,-4.941751303215499
October 2019,-4.690937387198402
November 2019,-3.366258123525778
December 2019,-2.841416884907023
